time,ax,ay,az,atotal
0.00657200813293457,-0.24,0.04,-0.24,0.34
0.016726016998291016,0.05,-0.33,-0.04,0.33
0.04418611526489258,0.16,-0.28,0.07,0.33
0.046697139739990234,0.13,-0.04,0.07,0.15
0.049481868743896484,0.2,0.0,0.16,0.25
0.055364131927490234,0.26,-0.05,0.3,0.4
0.06618690490722656,0.25,-0.07,0.34,0.42
0.07521700859069824,0.18,-0.05,0.33,0.37
0.08526897430419922,0.07,-0.05,0.31,0.32
0.0960550308227539,-0.03,-0.08,0.23,0.24
0.1064748764038086,-0.12,-0.08,0.12,0.18
0.11617898941040039,-0.17,-0.05,-0.01,0.17
0.1442551612854004,-0.18,-0.05,-0.16,0.24
0.14679718017578125,-0.17,-0.05,-0.25,0.3
0.14925503730773926,-0.17,-0.06,-0.21,0.27
0.15480518341064453,-0.18,-0.07,-0.15,0.24
0.16615509986877441,-0.18,-0.08,-0.12,0.23
0.1747589111328125,-0.17,-0.09,-0.05,0.19
0.18459320068359375,-0.17,-0.1,0.03,0.19
0.19523406028747559,-0.18,-0.11,0.06,0.21
0.20553112030029297,-0.17,-0.1,0.06,0.2
0.21548199653625488,-0.14,-0.1,0.06,0.18
0.2431190013885498,-0.08,-0.11,0.08,0.15
0.2458500862121582,-0.03,-0.12,0.15,0.19
0.24845099449157715,0.0,-0.13,0.23,0.26
0.2546100616455078,-0.02,-0.14,0.31,0.34
0.26482391357421875,-0.04,-0.15,0.32,0.35
0.2742629051208496,-0.06,-0.16,0.26,0.31
0.28473520278930664,-0.09,-0.16,0.16,0.24
0.2948000431060791,-0.09,-0.14,0.07,0.18
0.30477404594421387,-0.07,-0.14,-0.05,0.16
0.3151111602783203,-0.05,-0.11,-0.14,0.18
0.34259700775146484,-0.05,-0.08,-0.16,0.18
0.3449380397796631,-0.04,-0.05,-0.17,0.18
0.3473649024963379,-0.06,-0.02,-0.15,0.16
0.3538820743560791,-0.04,-0.03,-0.1,0.11
0.36429309844970703,-0.02,-0.06,-0.01,0.06
0.37387704849243164,-0.06,-0.06,0.04,0.09
0.3843879699707031,-0.13,-0.08,0.04,0.15
0.39437007904052734,-0.17,-0.08,0.07,0.2
0.4041140079498291,-0.19,-0.08,0.08,0.22
0.4140360355377197,-0.2,-0.07,0.06,0.22
0.44287800788879395,-0.2,-0.07,0.01,0.21
0.446026086807251,-0.21,-0.06,-0.03,0.22
0.4483470916748047,-0.2,-0.06,-0.03,0.21
0.45332813262939453,-0.19,-0.04,-0.05,0.2
0.4632401466369629,-0.19,0.01,-0.05,0.19
0.4742140769958496,-0.18,0.01,-0.06,0.19
0.48407411575317383,-0.13,0.0,-0.08,0.15
0.49407505989074707,-0.08,-0.01,-0.05,0.09
0.503899097442627,-0.07,0.0,0.0,0.07
0.5139110088348389,-0.12,0.07,0.01,0.13
0.5429129600524902,-0.13,0.1,0.03,0.16
0.5454890727996826,-0.13,0.08,0.02,0.15
0.5479910373687744,-0.09,0.07,-0.03,0.11
0.5527679920196533,-0.09,0.08,-0.07,0.13
0.5630621910095215,-0.1,0.09,-0.09,0.16
0.5728750228881836,-0.11,0.07,-0.09,0.15
0.5836071968078613,-0.14,0.07,-0.13,0.2
0.593235969543457,-0.17,0.1,-0.13,0.23
0.6034789085388184,-0.15,0.11,-0.09,0.2
0.6131100654602051,-0.13,0.07,-0.04,0.15
0.6420369148254395,-0.16,0.08,-0.04,0.18
0.6446609497070312,-0.15,0.04,-0.07,0.17
0.6472458839416504,-0.15,-0.01,-0.03,0.15
0.6524910926818848,-0.16,-0.04,-0.02,0.16
0.662208080291748,-0.13,-0.04,-0.06,0.14
0.6727440357208252,-0.12,-0.07,-0.05,0.14
0.6832089424133301,-0.14,-0.03,-0.02,0.14
0.6925511360168457,-0.16,0.0,-0.02,0.16
0.702800989151001,-0.18,0.03,-0.07,0.19
0.7129020690917969,-0.18,0.03,-0.1,0.2
0.7417421340942383,-0.17,0.03,-0.14,0.22
0.7443830966949463,-0.16,0.0,-0.17,0.23
0.747002124786377,-0.13,-0.02,-0.15,0.19
0.7518939971923828,-0.08,-0.03,-0.21,0.22
0.7615818977355957,-0.03,-0.03,-0.26,0.26
0.7716689109802246,-0.01,-0.02,-0.24,0.24
0.782656192779541,0.01,-0.04,-0.27,0.27
0.7923440933227539,-0.02,-0.01,-0.25,0.25
0.8018560409545898,-0.02,-0.05,-0.16,0.16
0.8119029998779297,-0.07,-0.07,0.03,0.1
0.8410930633544922,-0.17,-0.02,0.23,0.28
0.8439760208129883,-0.28,-0.01,0.4,0.48
0.8464169502258301,-0.38,-0.08,0.54,0.66
0.8511080741882324,-0.34,-0.05,0.65,0.73
0.8615350723266602,-0.28,0.01,0.67,0.72
0.8717560768127441,-0.06,0.05,0.54,0.54
0.8826720714569092,0.13,0.12,0.31,0.35
0.8916659355163574,0.16,0.27,0.07,0.32
0.901522159576416,0.14,0.38,-0.16,0.43
0.9116630554199219,0.15,0.39,-0.39,0.57
0.9405550956726074,0.18,0.37,-0.57,0.7
0.9433531761169434,0.24,0.33,-0.67,0.78
0.9457578659057617,0.32,0.32,-0.7,0.83
0.9517989158630371,0.34,0.34,-0.65,0.8
0.9606180191040039,0.34,0.35,-0.56,0.74
0.9704689979553223,0.32,0.35,-0.43,0.64
0.9809579849243164,0.26,0.33,-0.29,0.51
0.9923920631408691,0.12,0.31,-0.16,0.36
1.0012860298156738,-0.04,0.27,-0.06,0.27
1.0111360549926758,-0.13,0.19,-0.03,0.23
1.0388410091400146,-0.18,0.13,0.05,0.22
1.0416550636291504,-0.21,0.09,0.14,0.26
1.0440490245819092,-0.28,0.04,0.22,0.35
1.0523228645324707,-0.32,-0.02,0.34,0.46
1.0599780082702637,-0.33,-0.09,0.45,0.56
1.0700490474700928,-0.35,-0.11,0.49,0.61
1.0798449516296387,-0.34,-0.13,0.53,0.64
1.0903501510620117,-0.28,-0.17,0.57,0.65
1.1005611419677734,-0.27,-0.15,0.62,0.69
1.1106491088867188,-0.26,-0.08,0.59,0.64
1.1394438743591309,-0.18,-0.03,0.53,0.56
1.1422829627990723,-0.12,0.0,0.47,0.48
1.1446681022644043,-0.09,0.02,0.42,0.43
1.1531460285186768,-0.05,-0.03,0.34,0.34
1.1598381996154785,-0.1,-0.05,0.28,0.3
1.1698040962219238,-0.17,-0.07,0.23,0.29
1.1795759201049805,-0.23,-0.11,0.2,0.32
1.1902570724487305,-0.26,-0.13,0.16,0.33
1.200057029724121,-0.25,-0.15,0.11,0.31
1.2100481986999512,-0.21,-0.16,0.09,0.27
1.2383570671081543,-0.18,-0.11,0.05,0.21
1.2411141395568848,-0.12,-0.07,-0.02,0.14
1.2434520721435547,-0.09,-0.05,-0.1,0.14
1.2529170513153076,-0.05,-0.03,-0.18,0.18
1.2588319778442383,-0.03,-0.03,-0.23,0.23
1.2689871788024902,-0.03,-0.04,-0.29,0.29
1.2786040306091309,-0.02,-0.04,-0.3,0.3
1.2892351150512695,-0.01,-0.05,-0.26,0.26
1.2992420196533203,0.0,-0.06,-0.26,0.26
1.3093409538269043,0.01,-0.06,-0.21,0.21
1.3386049270629883,0.0,-0.06,-0.17,0.18
1.3413782119750977,-0.03,-0.03,-0.19,0.19
1.3437230587005615,-0.09,0.0,-0.23,0.24
1.3531560897827148,-0.1,0.02,-0.27,0.28
1.358388900756836,-0.1,0.03,-0.27,0.28
1.3683481216430664,-0.09,0.04,-0.28,0.29
1.3786249160766602,-0.05,0.03,-0.29,0.29
1.389172077178955,-0.02,0.03,-0.23,0.23
1.3991060256958008,0.01,0.04,-0.16,0.16
1.4087681770324707,0.0,0.03,-0.1,0.1
1.4379310607910156,-0.08,0.09,-0.08,0.14
1.4408111572265625,-0.12,0.11,-0.09,0.18
1.4431891441345215,-0.09,0.06,-0.11,0.15
1.453489065170288,-0.07,0.03,-0.16,0.17
1.457813024520874,-0.08,0.03,-0.2,0.21
1.4678280353546143,-0.09,0.08,-0.19,0.22
1.4776639938354492,-0.07,0.12,-0.16,0.21
1.4884610176086426,-0.02,0.1,-0.13,0.16
1.4983019828796387,0.01,0.08,-0.07,0.1
1.5088870525360107,-0.02,0.09,0.01,0.09
1.5378320217132568,-0.02,0.04,0.06,0.07
1.5405759811401367,0.0,-0.02,0.12,0.12
1.5428118705749512,-0.01,-0.02,0.17,0.17
1.5528621673583984,-0.01,-0.02,0.21,0.21
1.557197093963623,-0.01,-0.05,0.23,0.23
1.567385196685791,-0.02,-0.06,0.22,0.22
1.5771970748901367,-0.02,-0.07,0.2,0.21
1.5881309509277344,0.01,-0.04,0.16,0.16
1.5984292030334473,0.04,-0.02,0.13,0.13
1.6076931953430176,0.07,0.01,0.1,0.12
1.6372270584106445,0.08,0.04,0.09,0.12
1.6398859024047852,0.11,0.02,0.07,0.13
1.6422619819641113,0.09,-0.02,0.06,0.11
1.6531171798706055,0.03,-0.04,0.08,0.09
1.6566340923309326,-0.04,-0.04,0.09,0.1
1.666666030883789,-0.07,-0.04,0.05,0.09
1.6766891479492188,-0.09,-0.07,0.03,0.11
1.6877620220184326,-0.1,-0.06,0.04,0.12
1.6973628997802734,-0.08,-0.07,-0.01,0.1
1.7070190906524658,-0.08,-0.1,-0.02,0.12
1.7374720573425293,-0.11,-0.09,0.0,0.14
1.7401561737060547,-0.12,-0.1,0.0,0.15
1.7423059940338135,-0.13,-0.1,-0.01,0.16
1.7533001899719238,-0.13,-0.09,-0.03,0.16
1.7563161849975586,-0.12,-0.1,-0.08,0.17
1.7666070461273193,-0.09,-0.09,-0.09,0.15
1.7764880657196045,-0.07,-0.11,-0.1,0.16
1.7870612144470215,-0.05,-0.12,-0.14,0.19
1.7969279289245605,-0.03,-0.1,-0.14,0.17
1.8069729804992676,0.02,-0.09,-0.12,0.15
1.8365259170532227,0.05,-0.1,-0.09,0.14
1.8393669128417969,0.03,-0.12,-0.03,0.12
1.8417320251464844,0.0,-0.15,0.05,0.15
1.8537940979003906,-0.03,-0.15,0.08,0.17
1.8560791015625,-0.07,-0.14,0.07,0.17
1.8656649589538574,-0.12,-0.15,0.06,0.2
1.875859022140503,-0.14,-0.16,0.06,0.22
1.8859610557556152,-0.18,-0.14,0.03,0.23
1.8965349197387695,-0.19,-0.14,-0.01,0.23
1.9062950611114502,-0.17,-0.19,0.0,0.25
1.9370641708374023,-0.23,-0.21,0.05,0.31
1.9399139881134033,-0.34,-0.14,0.1,0.38
1.9422760009765625,-0.4,-0.09,0.13,0.43
1.953688144683838,-0.39,-0.04,0.15,0.41
1.9559788703918457,-0.27,-0.04,0.17,0.32
1.9659628868103027,-0.12,-0.09,0.17,0.22
1.9754080772399902,-0.06,-0.09,0.2,0.22
1.985219955444336,-0.09,-0.07,0.23,0.25
1.995199203491211,-0.12,-0.08,0.23,0.27
2.0055599212646484,-0.11,-0.11,0.22,0.26
2.033940076828003,-0.09,-0.11,0.17,0.22
2.0362050533294678,-0.03,-0.11,0.11,0.15
2.03835391998291,0.05,-0.12,0.08,0.15
2.0535590648651123,0.07,-0.1,0.07,0.14
2.0555319786071777,0.07,-0.06,0.04,0.1
2.0648300647735596,0.05,-0.05,0.02,0.07
2.0746841430664062,0.04,-0.01,0.01,0.04
2.0846781730651855,0.03,0.0,-0.06,0.06
2.0947751998901367,0.04,0.01,-0.12,0.12
2.104720115661621,0.03,0.01,-0.22,0.22
2.1346001625061035,-0.02,0.03,-0.31,0.31
2.137237071990967,-0.07,0.07,-0.4,0.41
2.1394472122192383,-0.05,0.09,-0.46,0.47
2.153510093688965,-0.01,0.09,-0.46,0.46
2.155609130859375,-0.01,0.12,-0.4,0.41
