time,yaw,pitch,roll
2023-04-27 13:37:30.3320,25.746,16.079,0.428
2023-04-27 13:37:30.4330,26.302,15.139,0.353
2023-04-27 13:37:30.5330,26.019,16.629,0.332
2023-04-27 13:37:30.6330,26.146,16.847,0.893
2023-04-27 13:37:30.7330,25.785,17.43,1.305
2023-04-27 13:37:30.8330,25.572,17.389,2.176
2023-04-27 13:37:30.9330,24.407,18.02,1.402
2023-04-27 13:37:31.0330,20.084,19.447,-6.224
2023-04-27 13:37:31.1330,16.419,17.415,-2.975
2023-04-27 13:37:31.2330,14.521,18.056,-1.843
2023-04-27 13:37:31.3330,18.009,19.389,-3.424
2023-04-27 13:37:31.4330,18.118,21.118,-13.05
2023-04-27 13:37:31.5330,2.527,18.211,-30.833
2023-04-27 13:37:31.6330,-17.788,28.432,-44.012
2023-04-27 13:37:31.7330,-80.282,66.057,-14.21
2023-04-27 13:37:31.8330,159.026,28.642,82.707
2023-04-27 13:37:31.9320,140.766,44.75,117.451
2023-04-27 13:37:32.0320,64.523,61.173,-120.43
2023-04-27 13:37:32.1320,25.517,41.671,-43.701
2023-04-27 13:37:32.2320,12.921,4.393,-25.574
2023-04-27 13:37:32.3320,1.967,-13.891,-27.327
2023-04-27 13:37:32.4320,-32.012,27.664,-36.318
2023-04-27 13:37:32.5320,-109.69,86.424,19.758
2023-04-27 13:37:32.6320,78.97,54.909,-159.782
2023-04-27 13:37:32.7320,68.407,33.219,-113.342
2023-04-27 13:37:32.8320,50.894,25.739,-62.637
2023-04-27 13:37:32.9320,20.843,8.451,-38.198
2023-04-27 13:37:33.0310,-5.292,-2.635,-37.545
2023-04-27 13:37:33.1320,-44.2,41.649,-26.479
2023-04-27 13:37:33.2310,160.204,60.642,100.551
2023-04-27 13:37:33.3310,83.761,44.821,-164.524
2023-04-27 13:37:33.4310,63.127,28.651,-102.56
2023-04-27 13:37:33.5310,48.835,12.528,-52.589
2023-04-27 13:37:33.6310,28.355,-1.056,-31.81
2023-04-27 13:37:33.7310,7.56,-1.82,-30.96
2023-04-27 13:37:33.8310,-40.873,34.843,-19.42
2023-04-27 13:37:33.9310,-132.297,52.331,44.577
2023-04-27 13:37:34.0310,156.837,48.606,117.47
2023-04-27 13:37:34.1310,119.719,44.599,171.714
2023-04-27 13:37:34.2310,122.527,49.079,-172.448
2023-04-27 13:37:34.3280,144.748,65.945,170.248
2023-04-27 13:37:34.4260,-151.486,74.214,101.04
2023-04-27 13:37:34.5280,-102.794,56.45,37.087
2023-04-27 13:37:34.6260,-85.705,17.17,1.853
2023-04-27 13:37:34.7270,-73.788,-0.65,-7.317
2023-04-27 13:37:34.8310,-62.281,14.418,-1.659
2023-04-27 13:37:34.9310,-5.131,62.616,-32.938
2023-04-27 13:37:35.0310,91.308,49.947,-121.954
2023-04-27 13:37:35.1310,103.155,42.683,-134.655
2023-04-27 13:37:35.2310,107.987,50.569,-140.476
2023-04-27 13:37:35.3310,163.77,60.206,141.005
2023-04-27 13:37:35.4310,176.855,11.156,82.853
2023-04-27 13:37:35.5310,174.636,40.171,66.618
2023-04-27 13:37:35.6310,-59.665,40.043,-31.556
2023-04-27 13:37:35.7310,-43.871,2.029,-13.448
2023-04-27 13:37:35.8310,-37.484,34.545,-42.954
2023-04-27 13:37:35.9310,64.173,65.063,161.399
2023-04-27 13:37:36.0310,84.711,9.39,114.429
2023-04-27 13:37:36.1310,90.977,31.852,102.005
2023-04-27 13:37:36.2300,165.977,69.335,28.554
2023-04-27 13:37:36.3300,-104.407,12.453,-18.344
2023-04-27 13:37:36.4300,-66.952,-0.699,-1.13
